QADate,Unit,Energy,MU,DPF,ADPass,RDPass,AD,RD,D4DD,D4DTA,D4Gamma,Area,Circumference,MCS,Span,CoA,MachineType,Mu_per_dpf
02/07/2024,EV06,6.0X,1517.0,600,88,95,97.9,100.0,0.0,0.0,0.0,25.371694444444444,28.62055555555556,0.317466,8.543715303582665,0.8864850437719587,TrueBeam,2.5283333333333333
02/07/2024,EV06,6.0X,1238.0,700,88,95,98.6,100.0,0.0,0.0,0.0,16.666194444444443,21.229555555555553,0.317221,6.221046892899723,0.7850467901144107,TrueBeam,1.7685714285714285
02/07/2024,EV06,6.0FFF,1837.0,1000,76,95,86.3,100.0,0.0,0.0,0.0,6.697194444444444,13.289777777777777,0.293544,3.6369712466632347,0.5039357735268544,TrueBeam,1.837
02/07/2024,EV06,10.0FFF,1052.0,600,76,95,96.8,100.0,0.0,0.0,0.0,30.96913888888889,32.58277777777778,0.352619,8.244098174389087,0.9504757114358301,TrueBeam,1.7533333333333334
02/07/2024,EV06,6.0X,738.0,500,75,90,91.7,98.1,0.0,0.0,0.0,14.121703296703295,20.29802197802198,0.198594,5.529183112341498,0.6957181991424487,TrueBeam,1.476
02/07/2024,EV06,6.0X,470.0,700,75,90,93.8,100.0,0.0,0.0,0.0,55.784499999999994,45.084,0.270991,11.520167197177805,1.2373458433147013,TrueBeam,0.6714285714285714
02/07/2024,EV06,6.0X,542.0,700,75,90,94.9,100.0,0.0,0.0,0.0,53.688055555555565,53.81033333333334,0.306681,9.687990655964606,0.9977276153072624,TrueBeam,0.7742857142857142
02/07/2024,NA11,6.0X,256.4,260,80,95,88.4,96.5,0.0,0.0,0.0,64.6435,49.391666666666666,0.355753,11.838016709513393,1.308793656149823,Agility,0.986153846153846
02/07/2024,NA11,6.0X,278.8,260,80,95,91.1,99.7,0.0,0.0,0.0,60.93319444444445,54.869000000000014,0.312556,12.216279441628824,1.110521322503498,Agility,1.0723076923076924
02/07/2024,NA11,6.0X,220.4,180,83,95,85.8,95.5,0.0,0.0,0.0,95.18580555555556,81.48355555555555,0.271191,18.576203779477645,1.1681596968440804,Agility,1.2244444444444444
02/07/2024,NA11,6.0X,247.7,180,83,95,86.3,98.0,0.0,0.0,0.0,113.46091666666666,80.05333333333333,0.316137,18.507351338497145,1.4173165806129249,Agility,1.376111111111111
02/07/2024,NA11,6.0X,216.5,200,75,90,84.6,93.8,0.0,0.0,0.0,85.9612376237624,88.41405940594059,0.185956,22.77912976970623,0.9722575595028794,Agility,1.0825
02/07/2024,NA11,6.0X,226.8,200,75,90,85.0,98.5,0.0,0.0,0.0,74.45148514851485,87.52198019801979,0.166071,24.033738965801778,0.8506604281583581,Agility,1.1340000000000001
02/07/2024,NA11,6.0X,1505.2,800,76,95,92.3,98.4,0.0,0.0,0.0,19.957555555555555,30.97466666666667,0.125048,7.504291443467713,0.6443186546712008,Agility,1.8815
02/07/2024,NA11,6.0X,270.3,180,83,95,87.2,94.8,0.0,0.0,0.0,74.97761111111112,71.29322222222221,0.258272,17.45289624881655,1.0516793711105468,Agility,1.5016666666666667
02/07/2024,NA11,6.0X,236.1,180,83,95,85.7,96.7,0.0,0.0,0.0,77.76908333333334,73.67066666666668,0.256574,17.10969562002738,1.0556315946645431,Agility,1.3116666666666665
02/07/2024,NA11,6.0X,525.6,800,75,90,78.9,99.2,0.0,0.0,0.0,211.53774193548387,122.00580645161291,0.462615,36.697527647354676,1.7338333976701266,Agility,0.657
02/07/2024,NA11,6.0X,758.6,800,75,90,89.6,99.0,0.0,0.0,0.0,179.2322580645161,106.28258064516129,0.435244,36.11184105609041,1.6863747283565416,Agility,0.94825
01/18/2024,NA12,6X,556.5,400,75,90,92.5,100.0,0.0,0.0,0.0,97.85327777777778,64.09688888888888,0.469626,15.78964079141269,1.5266462924184223,Agility,1.39125
01/18/2024,NA12,6X,445.7,300,80,95,91.2,98.9,0.0,0.0,0.0,97.27619444444444,92.35277777777777,0.283961,22.025796612469883,1.0533109754263543,Agility,1.4856666666666667
01/18/2024,NA12,6X,399.0,300,80,95,88.1,98.2,0.0,0.0,0.0,84.50516666666667,90.81644444444444,0.260895,21.940386327586054,0.9305051214415402,Agility,1.33
01/18/2024,NA12,6X,405.6,500,75,90,95.3,99.7,0.0,0.0,0.0,37.62213114754099,33.2032786885246,0.319056,7.88980780087685,1.1330848227510615,Agility,0.8112
01/18/2024,NA12,6X,285.2,500,75,90,88.2,95.8,0.0,0.0,0.0,30.282459016393442,33.15344262295081,0.300669,7.112812075038472,0.9134031527522303,Agility,0.5704
