FieldID,MachineType,Area,Circumference,MCS,Span,CoA,NControlPoints,IsFullArc,DateFolder,AD
2401961,Agility,196.36345238095234,104.46492063492063,0.341527,25.73868683519033,1.8797070938980045,126,0,2023-12-8,97.3
2401873,TrueBeam,82.42555555555556,73.33966666666666,0.400686,9.975503491324098,1.1238877854488327,180,1,2023-12-8,89.3
2401804,TrueBeam,8.105,15.330111111111112,0.206178,4.089904575592645,0.5286980597371912,180,1,2023-12-8,87.3
2401890,Agility,172.05488888888883,114.35366666666664,0.295169,25.467502183251675,1.5045856762111303,180,1,2023-12-8,96.9
2401613,Agility,87.1436111111111,85.48822222222223,0.26137,20.82278596588368,1.0193639409717254,180,1,2023-12-8,91.4
2402012,Agility,70.41380555555556,51.01577777777778,0.46687,14.230566262374017,1.380235852960522,180,1,2023-12-8,92.4
2401976,Agility,40.20641666666668,44.45955555555556,0.203898,11.391288462683214,0.9043369004538458,180,1,2023-12-8,95.4
2401872,TrueBeam,120.57622222222223,130.90277777777777,0.401607,21.332659484735643,0.9211127851458887,180,1,2023-12-8,99.5
2401960,Agility,237.37960317460315,104.58698412698413,0.440445,22.186466160536142,2.2696858997902556,126,0,2023-12-8,96.8
2401761,Agility,58.52405555555556,76.16166666666666,0.152546,20.245060594617026,0.768418787520698,180,1,2023-12-8,81.6
2402015,Agility,76.00805555555556,84.80311111111111,0.178777,21.88838896185314,0.8962885271504715,180,1,2023-12-8,85.4
2401707,TrueBeam,103.11730555555555,153.77044444444445,0.251347,17.135095198850586,0.6705924921275147,180,1,2023-12-8,95.4
2401658,Agility,38.18305555555556,39.244,0.325721,10.7421505726164,0.9729654356221477,180,1,2023-12-8,94.9
2401930,TrueBeam,22.533694444444443,27.768666666666665,0.340014,7.003211197166002,0.8114791651661745,180,1,2023-12-8,98.9
2401659,Agility,34.64186111111111,39.449,0.273708,10.584270955103861,0.8781429468709249,180,1,2023-12-8,95.1
2401839,Agility,114.3603611111111,80.36044444444443,0.296216,18.31426575586743,1.4230926907101893,180,1,2023-12-8,91.9
2401614,Agility,86.1106388888889,84.50733333333334,0.270005,21.30057249812616,1.0189723837247524,180,1,2023-12-8,91.1
2402014,Agility,72.37002777777778,79.72333333333334,0.162752,20.84687327753261,0.9077647001435519,180,1,2023-12-8,88.5
2401842,Agility,20.246638888888892,21.970888888888886,0.304597,5.351385397136275,0.92152115425462,180,1,2023-12-8,94.6
2401907,TrueBeam,44.48766666666666,34.85111111111111,0.512667,8.312951211159739,1.2765064082127144,180,1,2023-12-8,98.3
2401841,Agility,10.454694444444444,17.52122222222222,0.175911,4.275007415716685,0.5966875091159293,180,1,2023-12-8,96.9
2401898,Agility,14.827166666666663,32.75288888888889,0.295057,4.958502643074816,0.4526979808396883,180,1,2023-12-8,94.3
2401965,Agility,119.35933333333334,63.0328888888889,0.390134,17.969415034503648,1.8936040444494584,180,1,2023-12-8,94.5
2401899,Agility,13.951777777777776,22.25622222222222,0.229574,4.4902821003034,0.6268708875420607,180,1,2023-12-8,91.6
2401708,TrueBeam,67.19986111111112,81.40833333333333,0.209703,20.05767574770956,0.8254666120722013,180,1,2023-12-8,95.1
2401840,Agility,131.5851388888889,81.68977777777778,0.353277,18.415205183457417,1.610790755813321,180,1,2023-12-8,94.7
2401888,Agility,81.46802777777778,54.48133333333333,0.52955,14.90936323117533,1.4953383625788241,180,1,2023-12-8,97.9
2401758,Agility,24.250841584158415,34.174257425742574,0.184987,9.727931532396987,0.7096230733572836,101,0,2023-12-8,93.2
2401871,TrueBeam,97.61672222222224,127.84311111111113,0.302823,21.23714539461797,0.7635665416291496,180,1,2023-12-8,98.8
2402027,Agility,67.88811881188117,68.52376237623763,0.176449,18.66012657502184,0.9907237498013262,101,0,2023-12-8,93.2
2401963,Agility,72.85423423423423,73.31099099099099,0.207988,18.27576974950467,0.9937696005662658,111,0,2023-12-8,89.9
2401762,Agility,50.432861111111116,74.1201111111111,0.135102,20.175336000418902,0.68042074350791,180,1,2023-12-8,83.3
2402010,Agility,60.93005555555556,52.75377777777778,0.361372,13.785397504797682,1.1549894267709107,180,1,2023-12-8,93.9
2401962,Agility,75.16675675675675,73.29693693693694,0.202533,18.0997151491544,1.0255102040816326,111,0,2023-12-8,91.4
2402026,Agility,72.5621782178218,69.5360396039604,0.178261,17.8334520758173,1.0435189957768178,101,0,2023-12-8,85.8
2401759,Agility,23.827475247524752,35.34039603960396,0.191695,9.207173690236724,0.6742277370299604,101,0,2023-12-8,90.6
2401889,Agility,156.68363888888888,113.50544444444446,0.252638,26.314991852791472,1.3804063730667835,180,1,2023-12-8,86.4
2415563,TrueBeam,25.371694444444444,28.62055555555556,0.317466,8.543715303582665,0.8864850437719587,180,1,2024-02-07,97.9
2415430,Agility,19.957555555555555,30.97466666666667,0.125048,7.504291443467713,0.6443186546712008,180,1,2024-02-07,92.3
2415650,Agility,95.18580555555556,81.48355555555555,0.271191,18.576203779477645,1.1681596968440804,180,1,2024-02-07,85.8
2415743,Agility,85.9612376237624,88.41405940594059,0.185956,22.77912976970623,0.9722575595028794,101,0,2024-02-07,84.6
2415651,Agility,113.46091666666666,80.05333333333333,0.316137,18.507351338497145,1.4173165806129249,180,1,2024-02-07,86.3
2415391,TrueBeam,16.666194444444443,21.229555555555553,0.317221,6.221046892899723,0.7850467901144107,180,1,2024-02-07,98.6
2415590,Agility,77.76908333333334,73.67066666666668,0.256574,17.10969562002738,1.0556315946645431,180,1,2024-02-07,85.7
2415601,TrueBeam,6.697194444444444,13.289777777777777,0.293544,3.6369712466632347,0.5039357735268544,180,1,2024-02-07,86.3
2415708,Agility,211.53774193548387,122.00580645161291,0.462615,36.697527647354676,1.7338333976701266,31,0,2024-02-07,78.9
2415745,Agility,74.45148514851485,87.52198019801979,0.166071,24.033738965801778,0.8506604281583581,101,0,2024-02-07,85.0
2415591,Agility,74.97761111111112,71.29322222222221,0.258272,17.45289624881655,1.0516793711105468,180,1,2024-02-07,87.2
2415707,Agility,179.2322580645161,106.28258064516129,0.435244,36.11184105609041,1.6863747283565416,31,0,2024-02-07,89.6
2415642,TrueBeam,53.688055555555565,53.81033333333334,0.306681,9.687990655964606,0.9977276153072624,180,1,2024-02-07,94.9
2415635,TrueBeam,55.784499999999994,45.084,0.270991,11.520167197177805,1.2373458433147013,180,1,2024-02-07,93.8
2415520,TrueBeam,14.121703296703295,20.29802197802198,0.198594,5.529183112341498,0.6957181991424487,91,0,2024-02-07,91.7
