QADate,Unit,Energy,MU,DPF,ADPass,RDPass,AD,RD,D4DD,D4DTA,D4Gamma,Area,Circumference,MCS,Span,CoA,MachineType,Mu_per_dpf,log_Area,square_Area,sqrt_Area,inv_Area,log_Circumference,square_Circumference,sqrt_Circumference,inv_Circumference,log_MCS,square_MCS,sqrt_MCS,inv_MCS,log_Span,square_Span,sqrt_Span,inv_Span,log_CoA,square_CoA,sqrt_CoA,inv_CoA,log_MU,square_MU,sqrt_MU,inv_MU,log_Mu_per_dpf,square_Mu_per_dpf,sqrt_Mu_per_dpf,inv_Mu_per_dpf
02/07/2024,EV06,6.0X,1517.0,600,88,95,97.9,100.0,0.0,0.0,0.0,25.371694444444444,28.62055555555556,0.317466,8.543715303582665,0.8864850437719587,TrueBeam,2.5283333333333333,3.2722912548212904,643.7228789822531,5.037032305281002,0.0394139998325956,3.3884685647594908,819.1362003086422,5.34981827313373,0.03493992152315044,0.2757101946487753,0.10078466115600002,0.5634412125501649,3.1499336938957434,2.25588285446623,72.99507118867264,2.9229634454749287,0.11704508488661623,0.6347153323610946,0.7858557328313716,0.9415333471375078,1.1280493438396892,7.325148957955575,2301289.0,38.948684188300895,0.0006591957807124615,1.2608256159187188,6.392469444444444,1.590073373569073,0.39551731225419423
02/07/2024,EV06,6.0X,1238.0,700,88,95,98.6,100.0,0.0,0.0,0.0,16.666194444444443,21.229555555555553,0.317221,6.221046892899723,0.7850467901144107,TrueBeam,1.7685714285714285,2.8716528949670224,277.7620372600308,4.082425069054476,0.06000169644796424,3.1014227347737933,450.6940290864197,4.607554183680921,0.047104139805421906,0.27552421430218665,0.10062916284099999,0.5632237566012286,3.1523664815176757,1.9769999414099757,38.7014244436573,2.494202656742175,0.16074462328787587,0.5794446278372988,0.6162984626689396,0.8860286621291722,1.2738078020119803,7.122059881629142,1532644.0,35.185224171518364,0.0008077544419969673,1.0183314574073068,3.127844897959183,1.329876471169946,0.5654277901458377
02/07/2024,EV06,6.0FFF,1837.0,1000,76,95,86.3,100.0,0.0,0.0,0.0,6.697194444444444,13.289777777777775,0.293544,3.6369712466632342,0.5039357735268544,TrueBeam,1.837,2.0408559046008254,44.85241342669752,2.587893824028421,0.1493162336824939,2.659544440930571,176.618193382716,3.645514747985225,0.07524579729439357,0.25738573830042905,0.08616807993600002,0.5417970099585269,3.4066327138939516,1.5340614045411087,13.22755984905512,1.9070844886011826,0.27495398154810147,0.40808552084377775,0.2539512638401091,0.7098843381332303,1.9843759227995905,7.516433302915632,3374569.0,42.86023798347368,0.0005443658135305575,1.0427471558267143,3.3745689999999997,1.3553597308463905,0.5443655174929137
02/07/2024,EV06,10.0FFF,1052.0,600,76,95,96.8,100.0,0.0,0.0,0.0,30.96913888888889,32.58277777777778,0.352619,8.244098174389087,0.95047571143583,TrueBeam,1.7533333333333334,3.464771027735237,959.0875635192901,5.564992263147262,0.03229020901412829,3.5140133694246645,1061.6374077160494,5.708132599876931,0.03069105943419484,0.30204271308059705,0.12434015916100001,0.5938173119739774,2.8359140150870625,2.223985312692075,67.96515470896549,2.871253763495851,0.12129888042911652,0.6680732974060518,0.9034040780294471,0.9749234387560031,1.0521036317548045,6.959398512133975,1106704.0,32.43454948045371,0.0009505703413017391,1.012812298864777,3.074177777777778,1.3241349377360803,0.5703418800331482
02/07/2024,EV06,6.0X,738.0,500,75,90,91.7,98.1,0.0,0.0,0.0,14.121703296703297,20.29802197802198,0.198594,5.529183112341498,0.6957181991424487,TrueBeam,1.476,2.7161310163050043,199.42250400012077,3.757885482116678,0.07081298255434008,3.058614203521572,412.00969622026327,4.505332615692429,0.049265881760148095,0.18114920318927172,0.039439576835999995,0.44563886724566565,5.0353734988292755,1.8762818378123631,30.57186588980241,2.3514215088625643,0.18085850998666061,0.5281063673982372,0.4840238126180119,0.8340972360237436,1.4373615119901983,6.6052979209482015,544644.0,27.16615541441225,0.0013550135482994397,0.9066443548223496,2.178576,1.2149074038789953,0.6775063160526315
02/07/2024,EV06,6.0X,470.0,700,75,90,93.8,100.0,0.0,0.0,0.0,55.784499999999994,45.084,0.270991,11.520167197177804,1.237345843314701,TrueBeam,0.6714285714285714,4.039263401162641,3111.9104402499993,7.468902195102035,0.01792612611162373,3.8304658181758073,2032.5670560000003,6.71446200376471,0.022180817536580216,0.239796911143694,0.07343612208099999,0.520567959060102,3.6901458345633826,2.527340719989956,132.71425225093148,3.394137180076522,0.08680428817393299,0.8052902719507852,1.5310247359681688,1.1123604826290356,0.8081808309472243,6.154858094016418,220900.0,21.6794833886788,0.00212765956994115,0.5136786927483971,0.45081632653061215,0.8194074514114278,1.4893594839326836
02/07/2024,EV06,6.0X,542.0,700,75,90,94.9,100.0,0.0,0.0,0.0,53.688055555555565,53.81033333333334,0.306681,9.687990655964606,0.9977276153072624,TrueBeam,0.7742857142857142,4.001645322796392,2882.407309336421,7.327213355400235,0.01862611657334282,4.003878740654809,2895.551973444445,7.335552694469132,0.01858379087194298,0.2674903344618533,0.09405323576099998,0.5537878655225302,3.2607065298908973,2.369120742539099,93.85716295005753,3.1125537193700943,0.10322056784435091,0.6920103422577194,0.9954603943467166,0.9988631614526898,1.0022765556263393,6.297109319933935,293764.0,23.280893453645632,0.0018450184467804088,0.5733979274500194,0.5995183673469388,0.8799350625391139,1.2915112471256955
02/07/2024,NA11,6.0X,256.4,260,80,95,88.4,96.5,0.0,0.0,0.0,64.6435,49.391666666666666,0.355753,11.838016709513392,1.308793656149823,Agility,0.986153846153846,4.184238585946011,4178.7820922500005,8.040118158335735,0.015469459180436407,3.919825817491167,2439.536736111111,7.027920507992864,0.020246329942709702,0.3043570195339294,0.12656019700899998,0.5964503332214678,2.8109311490524354,2.552410824455447,140.13863961471827,3.440641903702475,0.08447360229883502,0.8367251613508389,1.7129408343780212,1.144025199088649,0.764061799382474,5.5506312951620265,65740.95999999999,16.012495120998476,0.0039001559910290333,0.6862000279569597,0.9724994082840235,0.9930527912220206,1.014039533345247
02/07/2024,NA11,6.0X,278.8,260,80,95,91.1,99.7,0.0,0.0,0.0,60.93319444444445,54.869000000000014,0.312556,12.216279441628824,1.110521322503498,Agility,1.0723076923076924,4.126056295154395,3712.8541852044764,7.805971716861678,0.016411415693958563,4.023009664617478,3010.6071610000017,7.407361203559606,0.0182252270275524,0.2719763812401121,0.097691253136,0.5590670800539055,3.199416426443817,2.58144936074613,149.23748339596307,3.4951794577144137,0.08185797672034024,0.7469349892471862,1.2332576077349182,1.0538127549538856,0.9004771716300644,5.634075062231381,77729.44,16.69730517179344,0.0035868005610229536,0.7286628135206812,1.1498437869822487,1.0355229076692087,0.9325672795283619
02/07/2024,NA11,6.0X,220.4,180,83,95,85.8,95.5,0.0,0.0,0.0,95.18580555555556,81.48355555555555,0.271191,18.576203779477645,1.1681596968440804,Agility,1.2244444444444444,4.566281795387331,9060.337579260033,9.756321312644205,0.010505767994058507,4.412598946873122,6639.569825975308,9.026824223144901,0.012272414733372606,0.2399542562908256,0.07354455848100001,0.5207600215070277,3.6874244077996403,2.974314735744836,345.0753468566795,4.310012039365742,0.05383230922953464,0.7738787417705096,1.3645970773308538,1.0808143674304485,0.8560466061746593,5.399971020274537,48576.16,14.845874847916509,0.004537205061083462,0.7995071965508551,1.4992641975308643,1.1065461781798556,0.8166962477072388
02/07/2024,NA11,6.0X,247.7,180,83,95,86.3,98.0,0.0,0.0,0.0,113.46091666666666,80.05333333333333,0.316137,18.507351338497145,1.4173165806129249,Agility,1.376111111111111,4.740233425569075,12873.379610840277,10.651803446678251,0.008813607544915768,4.395107374212412,6408.536177777777,8.947252837230728,0.012491672062479114,0.2747009308282135,0.099942602769,0.5622606157290407,3.1631755752234785,2.9707913862439805,342.5220535665721,4.302017124384461,0.054032580225962405,0.8826580739521043,2.0087862896803137,1.190511058584894,0.7055581710681568,5.516247350809359,61355.28999999999,15.738487856207787,0.004037141687375286,0.8654651643426525,1.8936817901234566,1.1730776236511848,0.726684978589842
02/07/2024,NA11,6.0X,216.5,200,75,90,84.6,93.8,0.0,0.0,0.0,85.9612376237624,88.41405940594059,0.185956,22.77912976970623,0.9722575595028794,Agility,1.0825,4.465462474815662,7389.334373808944,9.271528332684014,0.01163315019664652,4.493277933863327,7817.045900637192,9.40287506063654,0.011310418223172221,0.17054920039323265,0.034579633936000005,0.43122615876126996,5.377587291685712,3.16880829554282,518.8887530651166,4.772748659808751,0.04389983138996205,0.6791788559191068,0.945284762010495,0.9860312162923035,1.0285329866484332,5.382198850528739,46872.25,14.713938969562161,0.004618937623007216,0.7335690950588607,1.17180625,1.0404326023342405,0.9237866754857502
02/07/2024,NA11,6.0X,226.8,200,75,90,85.0,98.5,0.0,0.0,0.0,74.45148514851485,87.52198019801979,0.166071,24.033738965801778,0.8506604281583581,Agility,1.134,4.323489868897069,5543.023640819527,8.628527403242968,0.01343156532839671,4.483250884996129,7660.097017782568,9.35531828416435,0.011425701136009308,0.15363997801271226,0.027579577041,0.4075180977576333,6.021484657257093,3.220224473664514,577.6206086762987,4.902421744995199,0.04160817257001721,0.6155425635788162,0.7236231640345611,0.9223125436414481,1.1755558285567889,5.428468051013081,51438.240000000005,15.05988047761336,0.004409171056396953,0.7579981528795616,1.2859559999999999,1.0648943609579309,0.8818334375366513
